s,A(s) (GHz),B(s) (GHz),c (normalized)
0.283,1.34063400,1.41533400,0.36589620
0.284,1.33064700,1.42106200,0.36633260
0.285,1.32065900,1.42680100,0.36676900
0.286,1.31067200,1.43255200,0.36720530
0.287,1.30068400,1.43831400,0.36764170
0.288,1.29069700,1.44408800,0.36807810
0.289,1.28071000,1.44987400,0.36851440
0.290,1.27076500,1.45567100,0.36895030
0.291,1.26163200,1.46148000,0.36937590
0.292,1.25311000,1.46730000,0.36979390
0.293,1.24487600,1.47313200,0.37020830
0.294,1.23664300,1.47897500,0.37062270
0.295,1.22840900,1.48483000,0.37103710
0.296,1.22017600,1.49069700,0.37145150
0.297,1.21194200,1.49657500,0.37186590
0.298,1.20370900,1.50246500,0.37228020
0.299,1.19547500,1.50836600,0.37269460
0.300,1.18724200,1.51427900,0.37310900
0.301,1.17900900,1.52020300,0.37352340
0.302,1.17077500,1.52613900,0.37393780
0.303,1.16254200,1.53208700,0.37435220
0.304,1.15430800,1.53804600,0.37476660
0.305,1.14607500,1.54401600,0.37518100
0.306,1.13784100,1.54999900,0.37559540
0.307,1.12960800,1.55599200,0.37600980
0.308,1.12137400,1.56199800,0.37642420
0.309,1.11314100,1.56801500,0.37683860
0.310,1.10490700,1.57404300,0.37725290
0.311,1.09667400,1.58008300,0.37766730
0.312,1.08844100,1.58613500,0.37808170
0.313,1.08020700,1.59219800,0.37849610
0.314,1.07197400,1.59827300,0.37891050
0.315,1.06374000,1.60435900,0.37932490
0.316,1.05550700,1.61045700,0.37973930
0.317,1.04727300,1.61656600,0.38015370
0.318,1.03904000,1.62268700,0.38056810
0.319,1.03080600,1.62882000,0.38098250
0.320,1.02257300,1.63496400,0.38139690
0.321,1.01434000,1.64112000,0.38181120
0.322,1.00610600,1.64728700,0.38222560
0.323,0.99787260,1.65346600,0.38264000
0.324,0.98963920,1.65965600,0.38305440
0.325,0.98140570,1.66585800,0.38346880
0.326,0.97317230,1.67207200,0.38388320
0.327,0.96493880,1.67829700,0.38429760
0.328,0.95670540,1.68453300,0.38471200
0.329,0.94867640,1.69078200,0.38512610
0.330,0.94126650,1.69704100,0.38553910
0.331,0.93452500,1.70331300,0.38595090
0.332,0.92778340,1.70959600,0.38636260
0.333,0.92104180,1.71589000,0.38677440
0.334,0.91430020,1.72219600,0.38718620
0.335,0.90755860,1.72851400,0.38759790
0.336,0.90081700,1.73484300,0.38800970
0.337,0.89407540,1.74118400,0.38842140
0.338,0.88733380,1.74753600,0.38883320
0.339,0.88059220,1.75390000,0.38924500
0.340,0.87385060,1.76027600,0.38965670
0.341,0.86710900,1.76666300,0.39006850
0.342,0.86036740,1.77306100,0.39048020
0.343,0.85362580,1.77947100,0.39089200
0.344,0.84688420,1.78589300,0.39130380
0.345,0.84014260,1.79232600,0.39171550
0.346,0.83340100,1.79877100,0.39212730
0.347,0.82665940,1.80522800,0.39253900
0.348,0.81991780,1.81169600,0.39295080
0.349,0.81317620,1.81817500,0.39336260
0.350,0.80643460,1.82466600,0.39377430
0.351,0.79969300,1.83116900,0.39418610
0.352,0.79295150,1.83768300,0.39459780
0.353,0.78620990,1.84420900,0.39500960
0.354,0.77946830,1.85074700,0.39542140
0.355,0.77272670,1.85729600,0.39583310
0.356,0.76598510,1.86385600,0.39624490
0.357,0.75924350,1.87042800,0.39665660
0.358,0.75250190,1.87701200,0.39706840
0.359,0.74576030,1.88360700,0.39748020
0.360,0.73901870,1.89021400,0.39789190
0.361,0.73227710,1.89683200,0.39830370
0.362,0.72553550,1.90346200,0.39871540
0.363,0.71879390,1.91010400,0.39912720
0.364,0.71205230,1.91675700,0.39953900
0.365,0.70531070,1.92342100,0.39995070
0.366,0.69856910,1.93009800,0.40036250
0.367,0.69182750,1.93678500,0.40077420
0.368,0.68524010,1.94348500,0.40118770
0.369,0.67921490,1.95019600,0.40160710
0.370,0.67365000,1.95691800,0.40203100
0.371,0.66808500,1.96365200,0.40245500
0.372,0.66252000,1.97039800,0.40287890
0.373,0.65695510,1.97715500,0.40330290
0.374,0.65139010,1.98392400,0.40372680
0.375,0.64582520,1.99070400,0.40415080
0.376,0.64026020,1.99749600,0.40457480
0.377,0.63469530,2.00429900,0.40499870
0.378,0.62913030,2.01111400,0.40542270
0.379,0.62356540,2.01794100,0.40584660
0.380,0.61800040,2.02477900,0.40627060
0.381,0.61243540,2.03162900,0.40669450
0.382,0.60687050,2.03849000,0.40711850
0.383,0.60130550,2.04536300,0.40754240
0.384,0.59574060,2.05224700,0.40796640
0.385,0.59017560,2.05914300,0.40839030
0.386,0.58461070,2.06605100,0.40881430
0.387,0.57904570,2.07297000,0.40923820
0.388,0.57348080,2.07990000,0.40966220
0.389,0.56791580,2.08684200,0.41008610
0.390,0.56235080,2.09379600,0.41051010
0.391,0.55678590,2.10076200,0.41093400
0.392,0.55122090,2.10773900,0.41135800
0.393,0.54565600,2.11472700,0.41178190
0.394,0.54009100,2.12172700,0.41220590
0.395,0.53452610,2.12873900,0.41262980
0.396,0.52896110,2.13576200,0.41305380
0.397,0.52339620,2.14279700,0.41347770
0.398,0.51783120,2.14984300,0.41390170
0.399,0.51226620,2.15690100,0.41432560
0.400,0.50670130,2.16397000,0.41474960
0.401,0.50113630,2.17105100,0.41517350
0.402,0.49557140,2.17814400,0.41559750
0.403,0.49000640,2.18524800,0.41602140
0.404,0.48444150,2.19236400,0.41644540
0.405,0.47887650,2.19949100,0.41686930
0.406,0.47356010,2.20663000,0.41729920
0.407,0.46886330,2.21378000,0.41774370
0.408,0.46450010,2.22094200,0.41819580
0.409,0.46013690,2.22811600,0.41864790
0.410,0.45577370,2.23530100,0.41910010
0.411,0.45141040,2.24249800,0.41955220
0.412,0.44704720,2.24970600,0.42000430
0.413,0.44268400,2.25692600,0.42045640
0.414,0.43832070,2.26415700,0.42090850
0.415,0.43395750,2.27140000,0.42136060
0.416,0.42959430,2.27865500,0.42181270
0.417,0.42523110,2.28592100,0.42226490
0.418,0.42086780,2.29319800,0.42271700
0.419,0.41650460,2.30048800,0.42316910
0.420,0.41214140,2.30778800,0.42362120
0.421,0.40777810,2.31510100,0.42407330
0.422,0.40341490,2.32242500,0.42452540
0.423,0.39905170,2.32976000,0.42497750
0.424,0.39468840,2.33710700,0.42542970
0.425,0.39032520,2.34446600,0.42588180
0.426,0.38596200,2.35183600,0.42633390
0.427,0.38159880,2.35921800,0.42678600
0.428,0.37723550,2.36661100,0.42723810
0.429,0.37287230,2.37401600,0.42769020
0.430,0.36850910,2.38143200,0.42814230
0.431,0.36414580,2.38886000,0.42859450
0.432,0.35978260,2.39630000,0.42904660
0.433,0.35541940,2.40375100,0.42949870
0.434,0.35105620,2.41121400,0.42995080
0.435,0.34669290,2.41868800,0.43040290
0.436,0.34232970,2.42617400,0.43085500
0.437,0.33796650,2.43367100,0.43130710
0.438,0.33360320,2.44118000,0.43175930
0.439,0.32924000,2.44870100,0.43221140
0.440,0.32487680,2.45623300,0.43266350
0.441,0.32051360,2.46377700,0.43311560
0.442,0.31665890,2.47133200,0.43358730
0.443,0.31335760,2.47889900,0.43407960
0.444,0.31005630,2.48647700,0.43457180
0.445,0.30675500,2.49406700,0.43506410
0.446,0.30345370,2.50166900,0.43555630
0.447,0.30015240,2.50928200,0.43604860
0.448,0.29685110,2.51690600,0.43654080
0.449,0.29354980,2.52454300,0.43703310
0.450,0.29024840,2.53219000,0.43752530
0.451,0.28694710,2.53985000,0.43801760
0.452,0.28364580,2.54752100,0.43850980
0.453,0.28034450,2.55520300,0.43900210
0.454,0.27704320,2.56289700,0.43949430
0.455,0.27374190,2.57060300,0.43998660
0.456,0.27044060,2.57832000,0.44047880
0.457,0.26713930,2.58604900,0.44097110
0.458,0.26383800,2.59378900,0.44146330
0.459,0.26053660,2.60154100,0.44195560
0.460,0.25723530,2.60930400,0.44244780
